=== 都道府県別平均傾斜度検証レポート ===
Source Mapping: mesh_prefecture_mapping_final_verified.csv
Source Slope: slope_by_prefecture.csv

計算方法: メッシュ単位の平均傾斜度を、セル数（有効データ数）で加重平均。
境界処理: 境界にあるメッシュは、接する全ての都道府県の集計対象としてカウント。

--- ランキング (急勾配順) ---
prefecture  final_avg_slope  mesh_count  total_cells
       高知県        12.808706           6        60904
       富山県        11.962570           4        61432
       長野県        11.796475           8       179715
       新潟県        10.871746           7       108991
       徳島県        10.851470           4        60435
       福井県        10.806027           4        54225
       群馬県        10.640292           5       125774
       山梨県        10.553502           3        67564
       愛媛県        10.357174           5        82288
       岐阜県        10.271042           6       140774
      神奈川県        10.119094           4        74767
       石川県         9.688016           5        38369
      和歌山県         9.687191           5        62379
       東京都         9.580808          21        58237
       静岡県         9.417921           7       100596
       愛知県         9.132174           6       113691
       福島県         8.889554           6        99767
       鳥取県         8.747213           4        67879
       熊本県         8.744300           5        79032
       宮崎県         8.682032           5        85206
       埼玉県         8.597552           4        99960
       兵庫県         8.517239           6       102619
       三重県         8.444389           5        73025
       山形県         8.418219           6       119844
       島根県         8.179358          10        97942
       山口県         8.126639           7        83581
       広島県         8.068968           4        81312
       岡山県         8.034334           6        95111
       奈良県         8.023879           5        97172
       大阪府         7.986096           2        45612
       秋田県         7.963017           6        83120
       岩手県         7.911189           7       139389
       滋賀県         7.787110           4        83384
       京都府         7.513081           5        93097
      鹿児島県         7.433263          18        63124
       大分県         7.365113           5        80707
       宮城県         7.171958           5       101658
       北海道         6.861559          40       364565
       青森県         6.751382           8        82865
       長崎県         6.751196          10        59006
       栃木県         6.637112           4        90207
       香川県         6.257396           2        27232
       佐賀県         5.823117           4        50659
       福岡県         5.810694           5        51994
       沖縄県         3.812598          15        11192
       千葉県         3.724816           5        74677
       茨城県         3.682150           5       103033

--- メッシュ数確認 ---
北海道: 40 (Should be 40)
