prefecture,mesh_count,avg_slope_simple,total_weighted_slope,total_habitable_ratio,max_slope,min_slope,habitable_slope_weighted
新潟県,49237,9.64853870057071,32807.928,2126.12,41.2,0.0,15.430891953417493
山梨県,17071,14.224579696561419,239426.472,16428.84,43.3,0.0,14.573547006361983
徳島県,15527,13.368036323823018,204678.36,14793.28,37.6,0.0,13.835901165934802
高知県,26437,13.468143132730642,350451.952,25635.44,36.3,0.0,13.670604132404204
長野県,52115,12.995809267965077,598990.384,44637.36,43.3,0.0,13.419036968136107
奈良県,13874,12.468790543462593,169678.656,13364.52,40.0,0.0,12.696202781693618
富山県,16467,12.110645533491224,196463.456,15718.88,45.2,0.0,12.49856580112578
岐阜県,40658,12.1784814796596,486990.296,39161.2,39.4,0.0,12.435530474040632
愛媛県,21168,11.943674414210129,248849.504,20347.0,37.1,0.0,12.230279844694548
福井県,16067,11.269764112777743,178075.388,15397.28,39.2,0.0,11.56537959951368
静岡県,29490,10.927324516785351,314879.516,27503.4,40.7,0.0,11.448748736519848
和歌山県,17683,10.758508171690325,186436.304,16947.88,34.7,0.0,11.000567858634826
宮崎県,28396,10.65941681927032,298207.524,27350.48,37.9,0.0,10.903191607606155
山形県,36960,9.397251082251083,0.0,0.0,35.6,0.0,9.397251082251083
鳥取県,13350,9.062059925093633,119461.056,12860.88,32.8,0.0,9.288715546681098
兵庫県,31882,8.695495891098425,269894.344,29925.76,31.9,0.0,9.018796648773497
三重県,21755,8.559218570443576,181782.312,20235.12,37.5,0.0,8.983505509233453
京都府,17523,8.617297266449809,148179.524,16759.56,29.3,0.0,8.8414924974164
島根県,25443,8.241272648665646,205936.364,24112.08,31.5,0.0,8.54079631454441
岩手県,61514,8.47437168774588,0.0,0.0,31.7,0.0,8.47437168774588
大分県,23526,8.287707217546545,190814.236,22556.96,33.7,0.0,8.459217731467362
広島県,32001,8.295209524702353,259292.052,30769.24,29.9,0.0,8.42698916190325
熊本県,27329,8.179157671338139,219878.744,26240.8,32.8,0.0,8.379269839334167
群馬県,24572,9.814178740029302,143407.008,17156.6,40.2,0.0,8.358707902498164
山口県,22962,7.965952443166972,179003.812,21888.36,30.8,0.0,8.178036728197087
滋賀県,15278,6.581489723785836,98300.972,12020.36,35.4,0.0,8.177872542918847
福島県,53844,7.962331921848302,0.0,0.0,34.9,0.0,7.962331921848302
岡山県,26944,7.7367874109263655,203370.916,25705.08,31.4,0.0,7.911701344636935
石川県,16219,7.430513595166163,118312.548,15504.68,36.3,0.0,7.630763614598947
秋田県,46957,7.45391528419618,0.0,0.0,31.8,0.0,7.45391528419618
鹿児島県,33345,7.218134652871496,234294.564,31845.2,35.0,0.0,7.357296044615829
長崎県,15248,7.032148478488982,102586.076,14076.28,33.4,0.0,7.287868385681444
香川県,7057,6.768711917245289,46109.288,6502.16,26.9,0.0,7.091380095229893
北海道,356316,6.93969341820182,0.0,0.0,41.2,0.0,6.93969341820182
神奈川県,9186,6.167581101676465,54531.264,8301.2,30.6,0.0,6.569082060424998
東京都,8353,6.039865916437209,48608.704,7412.6,41.4,0.0,6.557578177697433
福岡県,18601,5.817568947906027,105213.1,17112.08,30.1,0.0,6.148469385369867
佐賀県,9069,5.8590362774286024,51879.52,8521.2,25.2,0.0,6.088288034549124
青森県,39504,6.041618570271365,0.0,0.0,34.5,0.0,6.041618570271365
埼玉県,14572,5.122097172659895,72915.624,13191.8,39.0,0.0,5.52734456253127
宮城県,28849,5.46378730631911,0.0,0.0,32.3,0.0,5.46378730631911
愛知県,19617,4.638991690880359,88121.572,17852.44,28.9,0.0,4.936108005404304
栃木県,24813,6.79098456454278,49069.692,10378.64,35.5,0.0,4.727950097507959
沖縄県,7880,4.374073604060913,32344.168,7025.0,24.2,0.0,4.604152028469751
大阪府,7180,3.9609192200557106,27135.56,6252.68,24.8,0.0,4.339828681461389
千葉県,19682,1.8773397012498731,34735.324,17666.68,19.1,0.0,1.9661489312083538
茨城県,23482,2.4443829316071883,30671.2,16950.8,27.5,0.0,1.8094249238973974
